# x_index	z_index	Potential(eV)	Density(cm^-3)	EFN(eV)
0.000000e+00	0.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
0.000000e+00	1.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
0.000000e+00	2.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
0.000000e+00	3.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
0.000000e+00	4.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
0.000000e+00	5.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
0.000000e+00	6.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
0.000000e+00	7.000000e+00	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	8.000000e+00	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	9.000000e+00	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.000000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.100000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.200000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.300000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.400000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.500000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.600000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.700000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.800000e+01	0.000000e+00	2.929960e+26	0.000000e+00
0.000000e+00	1.900000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.000000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.100000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.200000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.300000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.400000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.500000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.600000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.700000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.800000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	2.900000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	3.000000e+01	0.000000e+00	1.996101e+26	0.000000e+00
0.000000e+00	3.100000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.200000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.300000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.400000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.500000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.600000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.700000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.800000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	3.900000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	4.000000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	4.100000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	4.200000e+01	0.000000e+00	1.331294e+26	0.000000e+00
0.000000e+00	4.300000e+01	0.000000e+00	9.979662e+24	0.000000e+00
0.000000e+00	4.400000e+01	0.000000e+00	9.979662e+24	0.000000e+00
0.000000e+00	4.500000e+01	0.000000e+00	9.979662e+24	0.000000e+00
0.000000e+00	4.600000e+01	0.000000e+00	9.979662e+24	0.000000e+00
0.000000e+00	4.700000e+01	0.000000e+00	9.979662e+24	0.000000e+00
0.000000e+00	4.800000e+01	0.000000e+00	9.979662e+24	0.000000e+00
0.000000e+00	4.900000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	0.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
1.000000e+00	1.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
1.000000e+00	3.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
1.000000e+00	4.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
1.000000e+00	5.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
1.000000e+00	6.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
1.000000e+00	7.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
1.000000e+00	8.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
1.000000e+00	9.000000e+00	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.000000e+01	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.100000e+01	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.200000e+01	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.300000e+01	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.400000e+01	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.500000e+01	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.600000e+01	0.000000e+00	2.929960e+26	0.000000e+00
1.000000e+00	1.700000e+01	0.000000e+00	1.063088e+25	0.000000e+00
1.000000e+00	1.800000e+01	0.000000e+00	1.063088e+25	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	1.063088e+25	0.000000e+00
1.000000e+00	2.000000e+01	0.000000e+00	1.063088e+25	0.000000e+00
1.000000e+00	2.100000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.200000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.300000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.400000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.500000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.600000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.700000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.800000e+01	0.000000e+00	1.996101e+26	0.000000e+00
1.000000e+00	2.900000e+01	0.000000e+00	2.554840e+25	0.000000e+00
1.000000e+00	3.000000e+01	0.000000e+00	2.554840e+25	0.000000e+00
1.000000e+00	3.100000e+01	0.000000e+00	2.554840e+25	0.000000e+00
1.000000e+00	3.200000e+01	0.000000e+00	2.554840e+25	0.000000e+00
1.000000e+00	3.300000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	3.400000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	3.500000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	3.600000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	3.700000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	3.800000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	3.900000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	4.000000e+01	0.000000e+00	1.331294e+26	0.000000e+00
1.000000e+00	4.100000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.200000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.300000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.400000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.500000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.600000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.700000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.800000e+01	0.000000e+00	9.979662e+24	0.000000e+00
1.000000e+00	4.900000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	0.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
2.000000e+00	1.000000e+00	0.000000e+00	2.616386e+25	0.000000e+00
2.000000e+00	2.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	4.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	5.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	6.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	7.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	8.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	9.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	1.000000e+01	0.000000e+00	4.345852e+25	0.000000e+00
2.000000e+00	1.100000e+01	0.000000e+00	2.929960e+26	0.000000e+00
2.000000e+00	1.200000e+01	0.000000e+00	2.929960e+26	0.000000e+00
2.000000e+00	1.300000e+01	0.000000e+00	2.929960e+26	0.000000e+00
2.000000e+00	1.400000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	1.500000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	1.600000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	1.700000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	1.800000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	1.900000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	2.000000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	2.100000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	2.200000e+01	0.000000e+00	1.063088e+25	0.000000e+00
2.000000e+00	2.300000e+01	0.000000e+00	1.996101e+26	0.000000e+00
2.000000e+00	2.400000e+01	0.000000e+00	1.996101e+26	0.000000e+00
2.000000e+00	2.500000e+01	0.000000e+00	1.996101e+26	0.000000e+00
2.000000e+00	2.600000e+01	0.000000e+00	1.996101e+26	0.000000e+00
2.000000e+00	2.700000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	2.800000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	2.900000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	3.000000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	3.100000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	3.200000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	3.300000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	3.400000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	3.500000e+01	0.000000e+00	2.554840e+25	0.000000e+00
2.000000e+00	3.600000e+01	0.000000e+00	1.331294e+26	0.000000e+00
2.000000e+00	3.700000e+01	0.000000e+00	1.331294e+26	0.000000e+00
2.000000e+00	3.800000e+01	0.000000e+00	1.331294e+26	0.000000e+00
2.000000e+00	3.900000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.000000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.100000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.200000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.300000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.400000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.500000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.600000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.700000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.800000e+01	0.000000e+00	9.979662e+24	0.000000e+00
2.000000e+00	4.900000e+01	0.000000e+00	9.979662e+24	0.000000e+00
3.000000e+00	0.000000e+00	0.000000e+00	1.296773e+24	0.000000e+00
3.000000e+00	1.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	2.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	3.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	5.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	6.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	7.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	8.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	9.000000e+00	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	1.000000e+01	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	1.100000e+01	0.000000e+00	4.345852e+25	0.000000e+00
3.000000e+00	1.200000e+01	0.000000e+00	4.843234e+24	0.000000e+00
3.000000e+00	1.300000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	1.400000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	1.500000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	1.600000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	1.700000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	1.800000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	1.900000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	2.000000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	2.100000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	2.200000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	2.300000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	2.400000e+01	0.000000e+00	1.063088e+25	0.000000e+00
3.000000e+00	2.500000e+01	0.000000e+00	2.554840e+25	0.000000e+00
3.000000e+00	2.600000e+01	0.000000e+00	2.554840e+25	0.000000e+00
3.000000e+00	2.700000e+01	0.000000e+00	2.554840e+25	0.000000e+00
3.000000e+00	2.800000e+01	0.000000e+00	2.554840e+25	0.000000e+00
